,duration_ms,uri,tempo,album_cover,loudness,name,explicit,id,liveness,indexing,album,popularity,href,speechiness,danceability,key,energy,valence,instrumentalness,acousticness,mode,time_signature,artist,genres
1201,165646.0,spotify:track:0LzzrTU0t5sktycXOhViX4,95.993,https://i.scdn.co/image/ab67616d00001e025c37a54165e6e19fc5022820,-3.493,Fresa,False,0LzzrTU0t5sktycXOhViX4,0.101,"['f', 'fr', 'fre', 'fres', 'fresa']",TINI TINI TINI,58.0,https://api.spotify.com/v1/tracks/0LzzrTU0t5sktycXOhViX4,0.0867,0.781,5.0,0.866,0.864,0.0,0.216,0.0,4.0,TINI,"['colombian hip hop', 'dominican pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']"
1202,165667.0,spotify:track:2Uiv8YvD3q63FGTUjkYvxT,101.369,https://i.scdn.co/image/ab67616d00001e022565d33ad164e45b71b5b6a1,-15.499,Do You Hear What I Hear? - Remastered 2006,False,2Uiv8YvD3q63FGTUjkYvxT,0.195,"['d', 'do', 'do ', 'do y', 'do yo', 'do you', 'do you ', 'do you h', 'do you he', 'do you hea', 'do you hear', 'do you hear ', 'do you hear w', 'do you hear wh', 'do you hear wha', 'do you hear what', 'do you hear what ', 'do you hear what i', 'do you hear what i ', 'do you hear what i h', 'do you hear what i he', 'do you hear what i hea', 'do you hear what i hear', 'do you hear what i hear?', 'do you hear what i hear? ', 'do you hear what i hear? -', 'do you hear what i hear? - ', 'do you hear what i hear? - r', 'do you hear what i hear? - re', 'do you hear what i hear? - rem', 'do you hear what i hear? - rema', 'do you hear what i hear? - remas', 'do you hear what i hear? - remast', 'do you hear what i hear? - remaste', 'do you hear what i hear? - remaster', 'do you hear what i hear? - remastere', 'do you hear what i hear? - remastered', 'do you hear what i hear? - remastered ', 'do you hear what i hear? - remastered 2', 'do you hear what i hear? - remastered 20', 'do you hear what i hear? - remastered 200', 'do you hear what i hear? - remastered 2006']",Christmas Carols,46.0,https://api.spotify.com/v1/tracks/2Uiv8YvD3q63FGTUjkYvxT,0.028,0.532,10.0,0.246,0.414,1.66e-06,0.813,1.0,4.0,Bing Crosby,"['adult standards', 'easy listening', 'lounge']"
1203,165673.0,spotify:track:78sjvq7Xxwx6XqvcNaVlCF,119.994,https://i.scdn.co/image/ab67616d00001e0247a68b9fb771a4c2a2f8dd69,-4.421,Não Recomendo,False,78sjvq7Xxwx6XqvcNaVlCF,0.0832,"['n', 'nã', 'não', 'não ', 'não r', 'não re', 'não rec', 'não reco', 'não recom', 'não recome', 'não recomen', 'não recomend', 'não recomendo']",Exatamente Agora,57.0,https://api.spotify.com/v1/tracks/78sjvq7Xxwx6XqvcNaVlCF,0.0713,0.816,0.0,0.777,0.887,0.0,0.326,1.0,4.0,Bruno & Marrone,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
1204,165704.0,spotify:track:39umHdGKfpnjY4TFtnoQ51,126.012,https://i.scdn.co/image/ab67616d00001e0277d85d6688b7010ce154fe0a,-2.76,Too Much (feat. Usher),False,39umHdGKfpnjY4TFtnoQ51,0.258,"['t', 'to', 'too', 'too ', 'too m', 'too mu', 'too muc', 'too much', 'too much ', 'too much (', 'too much (f', 'too much (fe', 'too much (fea', 'too much (feat', 'too much (feat.', 'too much (feat. ', 'too much (feat. u', 'too much (feat. us', 'too much (feat. ush', 'too much (feat. ushe', 'too much (feat. usher', 'too much (feat. usher)']",Too Much (feat. Usher),68.0,https://api.spotify.com/v1/tracks/39umHdGKfpnjY4TFtnoQ51,0.0401,0.712,6.0,0.891,0.735,0.0,0.00415,0.0,4.0,Marshmello,"['dance pop', 'edm', 'electro house', 'pop dance', 'slap house', 'tropical house']"
1205,165710.0,spotify:track:426utyJ4B1l4vi5i5ULU5k,100.05,https://i.scdn.co/image/ab67616d00001e02373a46efca570f83dd78313f,-3.069,Stack It Up (feat. A Boogie Wit da Hoodie),True,426utyJ4B1l4vi5i5ULU5k,0.0713,"['s', 'st', 'sta', 'stac', 'stack', 'stack ', 'stack i', 'stack it', 'stack it ', 'stack it u', 'stack it up', 'stack it up ', 'stack it up (', 'stack it up (f', 'stack it up (fe', 'stack it up (fea', 'stack it up (feat', 'stack it up (feat.', 'stack it up (feat. ', 'stack it up (feat. a', 'stack it up (feat. a ', 'stack it up (feat. a b', 'stack it up (feat. a bo', 'stack it up (feat. a boo', 'stack it up (feat. a boog', 'stack it up (feat. a boogi', 'stack it up (feat. a boogie', 'stack it up (feat. a boogie ', 'stack it up (feat. a boogie w', 'stack it up (feat. a boogie wi', 'stack it up (feat. a boogie wit', 'stack it up (feat. a boogie wit ', 'stack it up (feat. a boogie wit d', 'stack it up (feat. a boogie wit da', 'stack it up (feat. a boogie wit da ', 'stack it up (feat. a boogie wit da h', 'stack it up (feat. a boogie wit da ho', 'stack it up (feat. a boogie wit da hoo', 'stack it up (feat. a boogie wit da hood', 'stack it up (feat. a boogie wit da hoodi', 'stack it up (feat. a boogie wit da hoodie', 'stack it up (feat. a boogie wit da hoodie)']",LP1,58.0,https://api.spotify.com/v1/tracks/426utyJ4B1l4vi5i5ULU5k,0.132,0.743,7.0,0.812,0.606,0.0,0.153,1.0,4.0,Liam Payne,"['dance pop', 'pop', 'post-teen pop']"
1206,165714.0,spotify:track:4RgDgaohkG08f630ZT9QKc,125.966,https://i.scdn.co/image/ab67616d00001e02abcb19e892fdf724ad99e6d9,-3.757,Body - Dzeko Remix,False,4RgDgaohkG08f630ZT9QKc,0.126,"['b', 'bo', 'bod', 'body', 'body ', 'body -', 'body - ', 'body - d', 'body - dz', 'body - dze', 'body - dzek', 'body - dzeko', 'body - dzeko ', 'body - dzeko r', 'body - dzeko re', 'body - dzeko rem', 'body - dzeko remi', 'body - dzeko remix']",Body (Dzeko Remix),63.0,https://api.spotify.com/v1/tracks/4RgDgaohkG08f630ZT9QKc,0.0556,0.653,5.0,0.946,0.653,0.000207,0.00812,0.0,4.0,Loud Luxury,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
1207,165714.0,spotify:track:4a6q8CR2hzLk2plDkSxkfD,104.954,https://i.scdn.co/image/ab67616d00001e023a376bd9b9b1f4b2686807db,-4.823,I.F.L.Y.,True,4a6q8CR2hzLk2plDkSxkfD,0.13,"['i', 'i.', 'i.f', 'i.f.', 'i.f.l', 'i.f.l.', 'i.f.l.y', 'i.f.l.y.']",Soul Searching,79.0,https://api.spotify.com/v1/tracks/4a6q8CR2hzLk2plDkSxkfD,0.0385,0.812,2.0,0.519,0.554,0.0,0.379,1.0,4.0,Bazzi,"['dance pop', 'electropop', 'pop']"
1208,165733.0,spotify:track:1XPj5quoeV5Gd0paSUDpvm,96.022,https://i.scdn.co/image/ab67616d00001e02cb3b78336289d818803892f8,-7.583,You Send Me - Mono,False,1XPj5quoeV5Gd0paSUDpvm,0.125,"['y', 'yo', 'you', 'you ', 'you s', 'you se', 'you sen', 'you send', 'you send ', 'you send m', 'you send me', 'you send me ', 'you send me -', 'you send me - ', 'you send me - m', 'you send me - mo', 'you send me - mon', 'you send me - mono']",Sam Cooke,59.0,https://api.spotify.com/v1/tracks/1XPj5quoeV5Gd0paSUDpvm,0.0276,0.572,4.0,0.365,0.41,0.0,0.88,0.0,4.0,Sam Cooke,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']"
1209,165744.0,spotify:track:3496rr5XSGD6n1Z1OKXovb,124.218,https://i.scdn.co/image/ab67616d00001e026506e351b719b6f122e60ea2,-4.686,The Way You Do The Things You Do,False,3496rr5XSGD6n1Z1OKXovb,0.358,"['t', 'th', 'the', 'the ', 'the w', 'the wa', 'the way', 'the way ', 'the way y', 'the way yo', 'the way you', 'the way you ', 'the way you d', 'the way you do', 'the way you do ', 'the way you do t', 'the way you do th', 'the way you do the', 'the way you do the ', 'the way you do the t', 'the way you do the th', 'the way you do the thi', 'the way you do the thin', 'the way you do the thing', 'the way you do the things', 'the way you do the things ', 'the way you do the things y', 'the way you do the things yo', 'the way you do the things you', 'the way you do the things you ', 'the way you do the things you d', 'the way you do the things you do']",Meet The Temptations,63.0,https://api.spotify.com/v1/tracks/3496rr5XSGD6n1Z1OKXovb,0.0321,0.618,4.0,0.704,0.741,0.000262,0.159,1.0,4.0,The Temptations,"['brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']"
1210,165754.0,spotify:track:0uth6JMSGzbmREU9esuWX5,162.082,https://i.scdn.co/image/ab67616d00001e02a3f9b722f949428e23870716,-7.504,Shadow Of Mine,False,0uth6JMSGzbmREU9esuWX5,0.1,"['s', 'sh', 'sha', 'shad', 'shado', 'shadow', 'shadow ', 'shadow o', 'shadow of', 'shadow of ', 'shadow of m', 'shadow of mi', 'shadow of min', 'shadow of mine']",Shadow Of Mine,73.0,https://api.spotify.com/v1/tracks/0uth6JMSGzbmREU9esuWX5,0.0677,0.57,6.0,0.473,0.632,2.14e-06,0.512,0.0,3.0,Alec Benjamin,"['alt z', 'dream smp', 'electropop', 'pop']"
